namely	'neɪmli	'nemli	即， 也就是
artistic	ɑː'tɪstɪk	ɑr'tɪstɪk	艺术的， 艺术家的； 富有艺术性的， 精美的； 精彩的
union	'juːnɪən	'junɪən	工会， 联盟； 联合， 团结； 一致
plentiful	'plentɪfl	'plɛntɪfəl	丰富的， 充足的； 大量的
halt	hɔːlt	hɔlt	停止，立定 / 停住
component	kəm'pəunənt	kəm'ponənt	组成的， 构成的 / 组成部分，部件，组件
consultant	kən'sʌltənt	kən'sʌltənt	顾问； 会诊医师， 专科医生
sunset	'sʌnset	'sʌnsɛt	日落； 晚霞
obvious	'ɒbviəs	'ɑbvɪəs	明显的
illustration	ˌɪlə'streɪʃn	,ɪlə'streʃən	说明， 图解， 例证
disguise	dɪs'gaɪz	dɪs'ɡaɪz	假扮，化装，伪装；掩盖，掩饰 / 用来伪装的东西； 伪装， 掩饰
wrap	ræp	ræp	裹，包，捆 / 披肩
surgery	'sɜːdʒəri	'sɝdʒəri	外科， 外科手术； 手术室
liberal	'lɪbərəl	'lɪbərəl	心胸宽大的， 慷慨的； 自由的， 自由主义的
violent	'vaɪələnt	'vaɪələnt	暴力引起的， 暴力的； 猛烈的， 剧烈的
harmony	'hɑːməni	'hɑrməni	调和， 协调， 和谐
resolve	rɪ'zɒlv	rɪ'zɑlv	解决， 解答； 决定， 决意
chill	tʃɪl	tʃɪl	变冷，感到冷 / 寒冷， 寒气； 风寒， 寒战
confront	kən'frʌnt	kən'frʌnt	迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证
dominate	'dɒmɪneɪt	'dɑmɪnet	拥有优势 / 在…中占首要地位；支配，统治，控制；耸立于，俯视
imitate	'ɪmɪteɪt	'ɪmɪtet	模仿， 仿效， 仿制
faithful	'feɪθfl	'feθfəl	忠诚的； 如实的； 尽职的
reproduce	ˌriːprə'djuːs	,riprə'dus	复制， 再现； 繁殖， 生殖
institution	ˌɪnstɪ'tjuːʃn	,ɪnstɪ'tuʃən	协会； 制度， 习俗
pad	pæd	pæd	垫，衬垫；便笺本；发射台，直升机起落场 / 填塞
provocation	ˌprɒvə'keɪʃn	,prɑvə'keʃən	激怒， 刺激； 挑衅， 挑拨
ambition	æm'bɪʃn	æm'bɪʃən	雄心， 抱负； 野心； 期望得到的东西
scholarship	'skɒləʃɪp	'skɑlɚʃɪp	奖学金； 学问， 学识
exceed	ɪk'siːd	ɪk'sid	超过， 胜过， 超出
besides	bɪ'saɪdz	bɪ'saɪdz	而且 / 除…之外
preposition	ˌprepə'zɪʃn	,prɛpə'zɪʃən	介词
enlarge	ɪn'lɑːdʒ	ɪn'lɑrdʒ	扩大， 扩展， 放大
implement	'ɪmplɪm(ə)nt	'ɪmplɪmɛnt	工具， 器具， 用具 / 使生效， 履行， 实施
export	ˈekspɔːt；ɪkˈ-	ˈekspɔːrt；ɪkˈ-	输出， 出口 / 输出， 出口； 输出品， 出口额
Christ	kraɪst	kraist	基督， 救世主
murder	'mɜːdə	'mɝdɚ	谋杀，凶杀；谋杀罪 / 谋杀；杀害
pat	pæt	pæt	非常恰当的， 适时的 / 轻拍
fantasy	'fæntəsi	'fæntəsi	想象， 幻想； 想象的产物
horsepower	'hɔːspauə	'hɔrs'paʊɚ	马力
visibility	ˌvɪzə'bɪləti	'vɪzə'bɪləti	可见度， 能见度； 可见性， 明显性
invitation	ˌɪnvɪ'teɪʃn	ˌɪnvɪˈteɪʃn	邀请， 招待； 请柬； 吸引， 诱惑
paw	pɔː	pɔ	用爪子抓， 用蹄扒； 翻找 / 爪子
enormous	ɪ'nɔːməs	ɪ'nɔrməs	巨大的， 庞大的
moisture	'mɔɪstʃə	'mɔɪstʃɚ	潮湿， 湿气
toast	təust	tost	烤面包；祝酒，祝酒词 / 烘， 烤； 向…祝酒， 为…干杯
frustrate	frʌ'streɪt	'frʌstret	使沮丧， 使灰心； 挫败， 使受挫折
external	ɪk'stɜːnl	ɪk'stɝnl	外部的， 外面的
aside	ə'saɪd	ə'saɪd	在旁边， 到旁边
circumstance	'sɜːkəmstəns	ˈsɝ​kəmˌstəns	情况， 条件； 境遇， 境况； 经济情况
revise	rɪ'vaɪz	rɪ'vaɪz	修订， 修改； 复习
authority	ɔː'θɒrəti	ə'θɔrəti	官方； 权力； 当权者， 行政管理机构； 权威， 专家
creature	'kriːtʃə	'kritʃɚ	创造物， 产物； 生物， 动物， 家畜
harm	hɑːm	hɑrm	伤害， 损害
semiconductor	ˌsemikən'dʌktə	,sɛmɪkən'dʌktɚ	半导体
rope	rəup	rop	绳，索 / 用绳捆
provided	prə'vaɪdɪd	prə'vaɪdɪd	假如， 若是
instrument	'ɪnstrəmənt	'ɪnstrəmənt	仪器， 工具； 乐器
gasoline	'gæsəliːn	'gæsəlin	汽油
indispensable	ˌɪndɪ'spensəbl	'ɪndɪ'spɛnsəbl	必不可少的， 必需的
medium	'miːdiəm	'midɪəm	中等的 / 媒体；媒介物，传导体
lens	lenz	lɛnz	透镜， 镜片， 镜头
wisdom	'wɪzdəm	'wɪzdəm	智慧， 才智； 名言
fatal	'feɪtl	'fetl	致命的， 命运的； 重大的， 决定性的
nowhere	'nəuhweə	'no'wɛr	任何地方都不
motive	'məutɪv	'motɪv	动机， 目的
romantic	rəu'mæntɪk	ro'mæntɪk	浪漫的； 多情的； 有浪漫色彩的， 传奇性的； 不切实际的， 空想的
motivate	'məutɪveɪt	'motə'vet	作为…的动机； 激励， 激发
spoil	spɔɪl	spɔɪl	损坏，糟蹋；宠坏，溺爱；变质 / 战利品， 掠夺物
airline	'eəlaɪn	'ɛrlaɪn	航空公司； 航线
multiply	'mʌltɪplaɪ	'mʌltɪplaɪ	增加， 繁殖； 乘
ridge	rɪdʒ	rɪdʒ	脊， 山脊； 垄， 埂， 脊状突起
pilot	'paɪlət	'paɪlət	试验性的， 试点的 / 引航员；飞行员 / 驾驶；为引航；试验，试用
umbrella	ʌm'brelə	ʌm'brɛlə	伞， 雨伞
approval	ə'pruːvl	əˈpruvl	赞成， 同意， 批准
mobile	'məubaɪl	ˈməʊbl;mobil	运动的； 流动的； 多变的
perform	pə'fɔːm	pɚ'fɔrm	做， 履行， 完成； 表演， 演出； 工作情况， 表现
multiple	'mʌltɪpl	'mʌltəpl	复合的，多重的，多样的 / 倍数
peak	piːk	pik	达到高峰， 达到最大值 / 最大值的，高峰的 / 山顶，顶点
evolution	ˌiːvə'luːʃn; ˌevə'luːʃn	ˌɛvəˈluʃən; (occas.) ˌ ivəˈluʃən	进化， 演化， 发展
portrait	'pɔːtrət; 'pɔːtreɪt	'pɔrtrɪt	肖像， 画像
halfway	ˌhɑːf'weɪ	,hæf'we	半路地； 在中途， 在半途 / 中途的；部分的；不彻底的
expose	ɪk'spəuz	ɪk'spoz；ek-	使接触； 揭露
concentrate	'kɒnsntreɪt	'kɑnsn'tret	全神贯注，全力以赴；集中，聚集；浓缩 / 浓缩物， 浓缩液
magnet	'mægnət	'mægnɪt	磁铁， 磁体； 有吸引力的人或事物
explosion	ɪk'spləuʒn	ɪk'sploʒən	爆炸， 爆发， 炸裂； 激增， 扩大
weld	weld	wɛld	焊接， 熔接
up-to-date	ˌʌptə'deɪt	'ʌptə 'det	直到最近的， 现代的； 跟上时代的
complaint	kəm'pleɪnt	kəm'plent	抱怨， 怨言； 控告
translation	træns'leɪʃn; trænz'leɪʃn	træns'leʃən	翻译； 译文， 译本
cancer	'kænsə	'kænsɚ	癌， 癌症； 肿瘤
personnel	ˌpɜːsə'nel	,pɝsə'nɛl	人员， 员工
hopeless	'həupləs	ˈhoʊpləs	没有希望的， 绝望的
outlook	'autluk	'aʊtlʊk	观点， 看法； 展望， 前景
fountain	'fauntən	'faʊntn	泉水； 喷泉； 源泉
offense	ə'fens	ə'fɛns	犯规， 违法行为； 冒犯， 得罪
breadth	bredθ	brɛdθ	宽度； 幅度， 幅面
catalog	'kætəlɒg	'kætəlɔg	目录，目录册；一系列 / 将…编入目录， 将编目
channel	'tʃænl	'tʃænl	海峡， 水道， 航道； 渠道， 途径； 频道
focus	'fəukəs	'fokəs	聚焦；集中 / 焦点； 中心
invisible	ɪn'vɪzəbl	ɪn'vɪzəbl	看不见的， 无形的
entire	ɪn'taɪə	ɪn'taɪɚ	全部的， 整个的
pea	piː	pi	豌豆
pill	pɪl	pɪl	药丸
wrist	rɪst	rɪst	腕， 腕关节
approach	ə'prəutʃ	ə'protʃ	向…靠近 / 靠近
myth	mɪθ	mɪθ	杜撰出来的人； 神话
flour	'flauə	'flaʊr	面粉； 粉， 粉状物质
implication	ˌɪmplɪ'keɪʃn	'ɪmplɪ'keʃən	含意， 暗示， 暗指； 卷入， 牵连
camel	'kæml	'kæml	骆驼
fierce	fɪəs	fɪrs	凶猛的； 狂热的
bump	bʌmp	bʌmp	碰，撞；颠簸着前进 / 碰撞， 猛撞； 肿块； 隆起物
reservation	ˌrezə'veɪʃn	,rɛzɚ'veʃən	预订； 保留； 犹豫； 保留地
per	pə	pɚ	每， 每一
proceed	prə'siːd	pro'sid	继续进行； 行进， 前进
considering	kən'sɪdərɪŋ	kən'sɪdərɪŋ	鉴于， 考虑到， 顾及
corporation	ˌkɔːpə'reɪʃn	,kɔrpə'reʃən	公司， 企业， 社团
loyalty	'lɔɪəlti	'lɔɪəlti	忠诚， 忠心
bulb	bʌlb	bʌlb	电灯泡， 球状物
dismiss	dɪs'mɪs	dɪs'mɪs	不再考虑； 解雇， 解散； 驳回
propose	prə'pəuz	prə'poz	提议， 建议， 提出； 提名， 推荐； 打算， 计划； 求婚
intelligence	ɪn'telɪdʒəns	ɪn'tɛlɪdʒəns	智力； 理解力； 情报
reform	rɪ'fɔːm	rɪ'fɔrm	改革， 改良， 改造； 改正， 改过自新
draught	drɑːft	drɑft	穿堂风，冷风 / 〔啤酒〕桶装的，散装的
daylight	'deɪlaɪt	'delaɪt	白昼， 日光， 黎明
install	ɪn'stɔːl	ɪn'stɔl	安装， 设置； 使就职， 任命
integration	ˌɪntɪ'greɪʃn	'ɪntə'greʃən	综合
indication	ˌɪndɪ'keɪʃn	,ɪndɪ'keʃən	指示， 表示， 表明； 象征， 迹象
bulk	bʌlk	bʌlk	变得越来越大； 使更大 / 物体；体积；大批
coach	kəutʃ	kotʃ	长途公共汽车；教练，指导；旅客车厢 / 训练， 指导， 辅导
despair	dɪ'speə	dɪ'spɛr	绝望 / 绝望，感到无望
champion	'tʃæmpiən	'tʃæmpɪən	冠军， 得胜者； 捍卫者， 拥护者
gum	gʌm	ɡʌm	口香糖； 树胶
circuit	'sɜːkɪt	'sɝkɪt	电路， 线路； 环行， 巡行
pine	paɪn	paɪn	消瘦， 衰弱； 痛苦， 悲哀； 渴望 / 松树，松木
magnificent	mæg'nɪfɪsnt	mæg'nɪfəsnt	宏伟的， 壮丽的； 华丽的； 极好的
guy	gaɪ	ɡai	家伙， 伙计
respectively	rɪ'spektɪvli	rɪ'spɛktɪvli	各自地， 各个地， 分别地
protection	prə'tekʃn	prə'tɛkʃən	保护， 防护
pint	paɪnt	paɪnt	品脱
restrict	rɪ'strɪkt	rɪ'strɪkt	限制， 约束， 限定
instant	'ɪnstənt	'ɪnstənt	立即的； 紧急的； 可以速食的 / 瞬间
conjunction	kən'dʒʌŋkʃn	kən'dʒʌŋkʃən	接合， 连接， 联合； 连词
peer	pɪə	pɪr	仔细看， 费力地看 / 同龄人，同等地位的人；贵族
orderly	'ɔːdəli	'ɔrdɚli	整洁的； 有秩序的
costly	'kɒstli	'kɔstli	昂贵的， 价值高的
roast	rəust	rost	烤，炙，烘 / 烤过的， 烘过的 / 烤肉
violence	'vaɪələns	'vaɪələns	猛烈， 激烈； 暴力
succession	sək'seʃn	sək'sɛʃən	连续； 一连串； 接替， 继任， 继承
accordingly	ə'kɔːdɪŋli	ə'kɔrdɪŋli	因此， 所以； 照着
consequence	'kɒnsɪkwəns	'kɑnsəkwɛns	结果， 后果； 重要， 重大
product	'prɔdʌkt; 'prɔdəkt	'prɑdʌkt	产品， 产物； 乘积
particularly	pə'tɪkjələli	pɚ'tɪkjəlɚlɪ	特别， 尤其
dominant	'dɒmɪnənt	'dɑmɪnənt	占优势的， 支配的， 统治的； 居高临下的， 高耸的
heading	'hedɪŋ	'hɛdɪŋ	标题， 题词， 题名； 新闻提要
lover	'lʌvə	'lʌvɚ	爱好者； 情人
vinegar	'vɪnɪgə	'vɪnɪɡɚ	醋
intellectual	ˌɪntə'lektʃuəl	,ɪntə'lɛktʃuəl	智力的 / 知识分子
cheat	tʃiːt	tʃit	欺骗；作弊；哄，行骗 / 欺骗， 欺骗行为； 骗子
framework	'freɪmwɜːk	'fremwɝk	框架， 结构； 准则； 体系
undoubtedly	ˌʌn'dautɪdli	ʌn'daʊtɪdli	毋庸置疑地， 肯定地
infect	ɪn'fekt	ɪn'fɛkt	传染， 感染； 影响
tide	taɪd	taɪd	潮， 潮汐； 潮流， 趋势
prohibit	prə'hɪbɪt	prə'hɪbɪt	禁止， 不准
bacteria	bæk'tɪəriə	bæk'tɪrɪə	细菌
minor	'maɪnə	'maɪnɚ	辅修 / 较小的，较少的；次要的 / 未成年人；辅修科目
arrow	'ærəu	'æro	箭， 箭状物； 箭头符号
cop	kɒp	kɑp	警察
fuel	'fjuːəl	'fjuəl	加燃料； 加油 / 燃料，燃料剂 / 给…加燃料；刺激
hostile	'hɒstaɪl	ˈhɑstl	敌方的； 不友善的
aeroplane	'eərəpleɪn	ˈɛrəˌplen	飞机
manner	'mænə	'mænɚ	方式； 态度； 风度； 礼貌， 规矩
employee	ɪm'plɔɪɪː	ɪmˈplɔɪi;ɛmplɔɪˈi	受雇者， 雇员， 雇工
associate	ə'səʊʃɪeɪt; -sɪeɪt	ə'soʃɪet	结合； 交往 / 副的 / 把…联系在一起；使联合 / 伙伴，同事
pray	preɪ	pre	祈祷， 祈求； 请求， 恳求
lad	læd	læd	男孩， 小伙子
crawl	krɔːl	krɔl	爬， 爬行； 缓慢地行进
identical	aɪ'dentɪkl	aɪ'dɛntɪkl	完全相同的， 同一的
lag	læg	læɡ	走得慢 / 落后
towel	'tauəl	'taʊəl	毛巾， 手巾
charity	'tʃærəti	'tʃærəti	救济金， 施舍物； 慈善团体， 慈善事业； 宽大， 宽容
academic	ˌækə'demɪk	,ækə'dɛmɪk	学院的； 学术的； 纯理论的， 不切实际的
function	'fʌŋkʃn	'fʌŋkʃən	运作， 运行 / 功能；职务，职责
employer	ɪm'plɔɪə	ɪm'plɔɪɚ	雇佣者， 雇主
pit	pɪt	pɪt	地洞，坑；煤矿，矿井 / 使有坑
lap	læp	læp	舔； 拍打 / 膝部；一圈，一段
mineral	'mɪnərəl	'mɪnərəl	矿物， 矿石， 矿物质
stock	stɒk	stɑk	常用的， 常备的 / 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 / 储备
representative	ˌreprɪ'zentətɪv	'rɛprɪ'zɛntətɪv	有代表性的， 典型的 / 代表，代理人
suspend	sə'spend	sə'spɛnd	暂停， 终止； 吊， 悬
pigeon	'pɪdʒɪn	'pɪdʒɪn	鸽子
well-known	ˌwel'nəun	,wɛl'non	众所周知的， 著名的
beneath	bɪ'niːθ	bɪˈniːθ	在下方， 在底下 / 在…下方；低于，次于；在…掩盖下；连…也不值得，有失…的身份
terror	'terə	'tɛrɚ	恐怖， 惊骇； 引起恐怖的人或事
comparison	kəm'pærɪsn	kəm'pærɪsn	比较， 对照； 比拟， 比喻
surge	sɜːdʒ	sɝdʒ	蜂拥而出；洋溢，奔放；汹涌，奔腾 / 大浪， 波涛； 高涨； 汹涌
lest	lest	lɛst	唯恐， 以免
heroic	hə'rəuik	hə'roɪk	英雄的； 英勇的
sway	sweɪ	swe	摇，摇动；动摇 / 摇摆， 摇动； 起支配作用的影响
basis	'beɪsɪs	'besɪs	基础， 根据； 原则
tutor	'tjuːtə	'tʊtɚ	当…导师， 当…家庭教师 / 导师；家庭教师，私人教师
senator	'senətə	'sɛnətɚ	参议员
adventure	əd'ventʃə	əd'vɛntʃɚ	奇遇； 冒险， 冒险活动
successive	sək'sesɪv	sək'sɛsɪv	连续的， 接连的
condition	kən'dɪʃn	kən'dɪʃən	状况， 状态； 环境
thirsty	'θɜːsti	'θɝsti	渴的； 渴望的
ceremony	'serəməni	ˈsɛrəˌmoʊni	典礼， 仪式， 礼节
obligation	ˌɒblɪ'geɪʃn	,ɑblɪ'ɡeʃən	义务， 责任
improve	ɪm'pruːv	ɪm'pruv	变得更好； 改善； 提高
gym	dʒɪm	dʒɪm	体育馆； 健身房
rarely	'reəli	'rɛrli	很少， 难得
evil	'iːvl	'ivl	坏的 / 邪恶，祸害
governor	'gʌvənə	'ɡʌvɚnɚ	州长； 主管人员； 理事， 董事
twist	twɪst	twɪst	缠绕，盘绕；转动，旋动；捻，搓；歪曲，曲解；扭歪，扭伤；曲折前进；转身 / 扭弯； 转折， 转变； 弯曲， 曲折处
locate	ləu'keɪt	ˈloˌket; loˈket	探明， 找出； 把…设置在， 使…坐落于
unite	ju'naɪt	ju'naɪt	联合， 统一
lavatory	'lævətri	'lævətɔri	盥洗室， 厕所
exterior	ɪk'stɪəriə	ɪk'stɪrɪɚ	外部的；对外的 / 外部， 外表
technique	tek'niːk	tɛk'nik	技术， 技巧， 技能
combat	'kɒmbæt	'kɑmbæt	战争，斗争，格斗 / 与…斗争， 与…战斗
troop	truːp	trʊp	成群结队而行 / 军队，部队；一群，大量
scenery	'siːnəri	'sinəri	风景， 景色； 舞台布景
unity	'juːnəti	'junəti	单一， 统一， 团结； 和睦， 协调
effective	ɪ'fektɪv	ɪ'fɛktɪv	有效的； 有影响的
pursue	pə'sjuː	pə'sʊ	继续； 从事； 追赶， 追踪； 追求
similarly	'sɪmələli	'sɪməlɚli	类似地， 相似地
convey	kən'veɪ	kən've	表达， 传递； 运送， 输送
muscle	'mʌsl	'mʌsl	肌肉， 体力； 力量， 实力
design	dɪ'zaɪn	dɪ'zaɪn	设计；预定，指定 / 设计， 构想； 图样； 企图
extra	'ekstrə	'ɛkstrə	特别地 / 额外的；特别的 / 额外的事物， 额外费用
generous	'dʒenərəs	'dʒɛnərəs	慷慨的； 宽厚的； 大量的
victim	'vɪktɪm	'vɪktɪm	牺牲者， 受害者
possibility	ˌpɒsə'bɪləti	,pɑsə'bɪləti	可能； 可能的事
lane	leɪn	len	小路； 跑道； 航道， 航线
garlic	'gɑːlɪk	'ɡɑrlɪk	大蒜
chief	tʃiːf	tʃif	主要的，为首的；总的 / 首领， 长官； 酋长， 族长
accord	ə'kɔːd	ə'kɔrd	相符合； 相一致 / 一致，符合；谅解，协议 / 使符合；使一致；调节；授予，赠与，给予
aircraft	'eəkrɑːft	'ɛr'kræft	飞机， 飞行器
automatic	ˌɔːtə'mætɪk	'ɔtə'mætɪk	自动的，机械的；不假思索的，无意识的；必然的，自然的 / 自动手枪； 有自动装置的汽车
doubtful	'dautfl	'daʊtfəl	难以预测的； 怀疑的
despite	dɪ'spaɪt	dɪ'spaɪt	不管， 不顾
opening	'əupnɪŋ	'opənɪŋ	开首的，开始的 / 口子， 洞， 孔； 开始； 空缺
industrial	ɪn'dʌstriəl	ɪn'dʌstrɪəl	工业的， 产业的
obey	ə'beɪ	ə'be	顺从， 服从
conduct	'kɒndʌkt	kən'dʌkt	举止， 行为； 指导； 管理； 实施 / 进行； 管理， 指挥， 引导； 传输， 传导
stable	'steɪbl	'stebl	稳定的，不变的；沉稳的，持重的 / 厩， 马厩， 牛棚
lamb	læm	læm	羔羊， 小羊； 羔羊肉
pillow	'pɪləu	'pɪlo	枕头
harness	'hɑːnɪs	'hɑrnɪs	治理；给上挽具 / 马具， 挽具
fantastic	fæn'tæstɪk	fæn'tæstɪk	极好的， 极出色的， 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的
sketch	sketʃ	skɛtʃ	绘…的略图， 画…的素描； 概述 / 略图；梗概；素描，速写
tidy	'taɪdi	'taɪdi	整洁的，整齐的 / 整洁， 整齐
respond	rɪ'spɒnd	rɪ'spɑnd	回答， 答复； 作出反应， 响应
incident	'ɪnsɪdənt	'ɪnsɪdənt	发生的事， 事件
maintenance	'meɪntənəns	'mentənəns	维持； 保养； 抚养费
marry	'mæri	'mæri	娶， 嫁； 为…证婚； 结婚， 结合
decay	dɪ'keɪ	dɪ'ke	腐烂；衰败 / 腐烂
absorb	əb'sɔːb; əb'zɔːb	æbˈsɔrb; æbˈzɔrb; əbˈsɔrb	吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化
supply	sə'plaɪ	sə'plaɪ	供给， 供应
concern	kən'sɜːn	kən'sɝn	关切的事，有关的事；关心，挂念；关系，关联；公司，企业 / 涉及， 有关； 使关心， 使担心
circulate	'sɜːkjəleɪt	'sɝkjəlet	循环， 流通； 流传， 散布， 传播
liberty	'lɪbəti	'lɪbɚti	自由； 许可， 准许； 过于随便， 放肆
liable	'laɪəbl	'laɪəbl	易于…的； 可能的
cargo	'kɑːgəu	'kɑrɡo	船货， 货物
confidential	ˌkɒnfɪ'denʃl	,kɑnfɪ'dɛnʃl	秘密的， 机密的； 亲信的
drift	drɪft	drɪft	漂流，漂泊 / 漂流； 大意， 主旨； 趋势
element	'elɪmənt	'ɛləmənt	成分， 要素， 元素； 基础， 纲要； 自然力
chaos	'keɪɒs	'keɑs	混乱， 紊乱
mankind	ˌmæn'kaɪnd	mæn'kaɪnd	人类
abundant	ə'bʌndənt	ə'bʌndənt	丰富的， 富裕的； 大量的， 充足的
pace	peɪs	pes	踱步 / 步，步速；速度；节奏
exclaim	ɪk'skleɪm	ɪk'sklem	呼喊， 惊叫
probable	'prɒbəbl	'prɑbəbl	很可能的， 大概的
forecast	'fɔːkɑːst	'fɔrkæst	预测， 预报 / 预测，预报
uncover	ʌn'kʌvə	ʌn'kʌvɚ	揭露， 暴露； 揭开…的盖子
recognize	'rekəgnaɪz	ˈrɛkəɡˌnaɪz	认出， 识别； 承认； 赏识， 表彰， 报偿
pack	pæk	pæk	捆扎，把…打包；使挤在一起，塞满 / 包， 小盒
restraint	rɪ'streɪnt	rɪ'strent	抑制， 限制， 克制； 约束措施， 约束条件
input	'ɪnput	'ɪn'pʊt	输入；投入的资金；输入的数据 / 把…输入计算机
cue	kjuː	kju	暗示，信号；提示 / 提示； 暗示
volt	vəult	volt	伏特， 伏
reality	ri'æləti	rɪ'æləti	现实， 实际； 真实
stereotype	'steriətaɪp	'stɛrɪətaɪp	陈规，老套，固定的模式；铅版 / 把…浇铸成铅版； 对…形成固定看法
enroll	ɪn'rəul	ɪn'rol	入学，加入 / 招收， 吸收
offend	ə'fend	ə'fɛnd	冒犯， 伤害…的感情； 使厌恶； 违反
molecule	'mɒlɪkjuːl	'mɑlɪkjul	分子
resign	rɪ'zaɪn	rɪ'zaɪn	辞职 / 辞去， 放弃； 使听从， 使顺从
bathe	beɪð	beð	洗澡； 游泳
